inf_completa,uf_extenso
"DA CONCEIÇÃO, AL",ALAGOAS
"ROCHA, BA",BAHIA
"JESUS, ES",ESPÍRITO SANTO
"FREITAS DE LIMA, ES",ESPÍRITO SANTO
"FERREIRA DE MINAS, RS",RIO GRANDE DO SUL
"FOGAÇA, AC",ACRE
"DA ROCHA, DF",DISTRITO FEDERAL
"NOVAIS, RR",RORAIMA
"DA CUNHA DE RIBEIRO, SC",SANTA CATARINA
"CAVALCANTE, RR",RORAIMA
"PIMENTA, AM",AMAZONAS
"NOVAES, SE",SERGIPE
"CORREIA, TO",TOCANTINS
"PIMENTA DO SUL, RN",RIO GRANDE DO NORTE
"LOPES, PE",PERNAMBUCO
"FERREIRA DA SERRA, TO",TOCANTINS
"DA ROSA, SP",SÃO PAULO
"CUNHA, MT",MATO GROSSO
"DA CONCEIÇÃO, CE",CEARÁ
"RIBEIRO, MT",MATO GROSSO
"LIMA DE ARAGÃO, DF",DISTRITO FEDERAL
"CASTRO DO CAMPO, BA",BAHIA
"GONÇALVES, PA",PARÁ
"RODRIGUES DA PRATA, PI",PIAUÍ
"REZENDE DAS FLORES, SE",SERGIPE
"RIOS DO OESTE, GO",GOIÁS
"PASTOR DE VARGAS, SP",SÃO PAULO
"CASSIANO DE MONTENEGRO, SP",SÃO PAULO
"DA MATA DE MONTENEGRO, MS",MATO GROSSO DO SUL
"DA CRUZ, PE",PERNAMBUCO
"LEÃO DE CUNHA, MG",MINAS GERAIS
"DA MOTA DE SOUSA, SC",SANTA CATARINA
"PASTOR, PE",PERNAMBUCO
"NASCIMENTO DE GOIÁS, AP",AMAPÁ
"CASA GRANDE DE CARVALHO, RS",RIO GRANDE DO SUL
"CAVALCANTE VERDE, RJ",RIO DE JANEIRO
"DAS NEVES DE GARCIA, BA",BAHIA
"FERNANDES, RN",RIO GRANDE DO NORTE
"CAVALCANTI, TO",TOCANTINS
"BARROS DO AMPARO, BA",BAHIA
"GUERRA, PA",PARÁ
"PORTO DO GALHO, RN",RIO GRANDE DO NORTE
"DA CONCEIÇÃO DAS PEDRAS, PI",PIAUÍ
"PIMENTA ALEGRE, PI",PIAUÍ
"CIRINO DA MATA, GO",GOIÁS
"MARQUES DE PORTO, PB",PARAÍBA
"DUARTE DO CAMPO, PB",PARAÍBA
"NOGUEIRA, SC",SANTA CATARINA
"VASCONCELOS, SC",SANTA CATARINA
"MOURA DAS FLORES, MG",MINAS GERAIS
"CAVALCANTE, SP",SÃO PAULO
"SIQUEIRA, MS",MATO GROSSO DO SUL
